proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0xbb015bb4009b6a48bfb9363d9c9b1d54e9ab02e5,BUY,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,10.0,0.999,1767285991,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,MistahFox,Limp-Secretion,1234,,,0x80abcf767b0520e0724288e118a03c965089736add499536e699cbf268be48bc
0x1f2c08b8b71bcd8508ef381ba1084861f498dcbb,SELL,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,5.5,0.994,1767279923,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,0xChainWizard,Royal-Review,,,,0x6390308e00d61a8f37555763a44e921d0d6e849a7e319cded8445f4028ffb34c
0xec0c615f466277c8a3593f8b1c7c5585db868589,BUY,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,31.69,0.999,1767256775,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,weather.fanatic,Inconsequential-Jacket,,,,0x0270a3f7f8c4335d561b133bf6c4514b65325ee8ad7cf43b197108084a291160
0x1f2c08b8b71bcd8508ef381ba1084861f498dcbb,BUY,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,5.5,0.998,1767250747,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,0xChainWizard,Royal-Review,,,,0xf5ec2d36f6fa8c73497be3cc5e6798c16d3f1c746e420b912a136caa57e4afc1
0x6a9bcd95987e5eca56859c29d3ed0a611ea2f0f5,SELL,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,5.62,0.996,1767244503,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,84jaak,Loving-Inability,,,,0xf4abe23009163ec7cb54650abfddb89706d2b3dff77e01565909fd6474a09dd4
0x21ffd2b7a212a6f277ed3eca1a9f8efcbca90d71,SELL,69222024398947508391575996645170625389967542074542426385361598205288533547384,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,39.76,0.001,1767240955,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,Yes,0,Haradwaith,Known-Use,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-1267746-f048109a-fad4-4227-b402-113358f50961.png,,0xd72a4240d41343e6db8f0be615a991897d236380598133dc7b21f4ddf9ae1ce2
0x2aae07fd1388d00b5a4d425fdfc6ea13e9a5a80c,BUY,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,1600.0,0.999,1767230071,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,tiredShip,Appropriate-Handrail,,,,0xb6523217190d98c516c21d887d0acd686dd4225eef0d9ea4ba1e7d4c86591cf7
0x5b9115312cb4fc2b2b57c65045e611092f222709,BUY,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,14.55,0.998,1767202971,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,x26,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-6430-fba664d5-993b-49a5-b977-f48e237a1e47.png,,0x129a6dd81ef2b46d7b80179ee7c32c9b410686ef9514f9bc3df03a202bea847e
0x5b9115312cb4fc2b2b57c65045e611092f222709,BUY,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,21.76,0.998,1767202967,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,x26,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-6430-fba664d5-993b-49a5-b977-f48e237a1e47.png,,0x13c5eb94fa42ac2cbc530e5aad61b2f87a96c546c11bc5688f7ddb60d3dcfa34
0x5b9115312cb4fc2b2b57c65045e611092f222709,BUY,16195532390378103544358087070190895347267852880908257343850329674087143967396,0xcf10041e1e7ac942f180097fca532958aae7d89ea9b0e97efa055304564e572a,86.62,0.998,1767202963,30-year mortgage rate below 6% by December 31?,30-year-mortgage-rate-below-6-by-december-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/30-year-mortgage-drops-below-6-in-september-Cry-G4xkjktH.jpg,30-year-mortgage-rate-below-6-by-december-31,No,1,x26,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-6430-fba664d5-993b-49a5-b977-f48e237a1e47.png,,0x6c511cb2cca5010edb4642cf49000fe1e0b6980b94c34d30696b79e1ab107986
