proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0xf603219b7f91da5f0d6926260d678ea9c31482f1,BUY,6271082518707877768637837475632663520983578902767187242523183340673240902132,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,2000.0,0.001,1769445697,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,No,1,lpdr,Curvy-Egg,,,,0xcaee66ef1654bfbef0bd2ed440978331a24dac7f43e1ef6904dddf0ab64d3455
0x721cf5f315e17877762f3f2e8043a8808b11d4d7,BUY,6271082518707877768637837475632663520983578902767187242523183340673240902132,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,1000.0,0.001,1769445695,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,No,1,Hahakano,Specific-Purr,,,,0x944f2190cd12966df12d3da2dbb73cd6c4b4269198789155f05d9f0816a8d1c9
0xa6b7ebd5ce137c3b5d56f896a52eba71702bd5f3,SELL,33635112192990993453872315423104620094526257401282945780015813173807650110239,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,66.05,0.999,1769444793,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,Yes,0,Relaccsed,Dapper-Baseball,Poly-Bets . com,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3114554-f2fa5a90-960c-45c1-beca-bd98eb3f52d1.png,,0x76bbc7ff2373e783af3e619a5471eea534d3eaff1fe2b45afabeaf58f0aac62f
0x95074f700f93bdf6e62fc965e0832064c0877b04,SELL,6271082518707877768637837475632663520983578902767187242523183340673240902132,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,1551.2,0.0011933986591026301,1769444255,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,No,1,bobe5,Compassionate-Kneejerk,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4784424-ea2865a4-43b1-4e2f-aff5-15296161ebac.webp,,0x91ffba7409c68810e6c21152bbf8c781101d608adf3d235367b642069e6189d2
0x2aa0c0a151057d0bd0d052a57dec739f91f63895,BUY,33635112192990993453872315423104620094526257401282945780015813173807650110239,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,300.0,0.997,1769444153,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,Yes,0,hotpotato881,Faraway-Moment,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4597468-46bb36d7-2bcd-4fa2-9b60-5efbd5c5d1de.jpg,,0x19d2630b2b7111eb4dd87a6cd77d796033a8c9bffdcee030a4be5fc3c956b146
0x95074f700f93bdf6e62fc965e0832064c0877b04,SELL,6271082518707877768637837475632663520983578902767187242523183340673240902132,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,49.45,0.005,1769443889,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,No,1,bobe5,Compassionate-Kneejerk,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4784424-ea2865a4-43b1-4e2f-aff5-15296161ebac.webp,,0xeaa3680f16ccb7439954ab7803be440ee121a42fa97c5c96956df5443fd8d082
0xfa394a598dbf573202a8286b45f512c7a383977f,SELL,6271082518707877768637837475632663520983578902767187242523183340673240902132,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,100.0,0.02,1769443791,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,No,1,,,,,,0xc807ba57e1bf71e1ba97cc906d2feda639fc41395c282598ea31000e6a50adf3
0x25257a6a89dba93dd0c536b6279365632a4eb919,BUY,6271082518707877768637837475632663520983578902767187242523183340673240902132,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,1120.34,0.030541371369405716,1769443775,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,No,1,Trading4Fridge,Fake-Polyester,"A fridge with a touchscreen is just a tablet duct taped to cold metal, the most pointless thing money can buy.",https://polymarket-upload.s3.us-east-2.amazonaws.com/png_clipart_refrigerator_home_appliance_washing_machine_air_conditioning_refrigerator_electronics_kitchen_appliance_thumbnail_198f18c1-9b22-4c50-b472-89cb2f420604_1731856327481.jpg,,0x21f89781b430e99403ce660a8216228d781885e40069c51f800e02c22e9d551c
0xe598435df0cdf5d22bdd5082d557f75f9180a0a8,BUY,33635112192990993453872315423104620094526257401282945780015813173807650110239,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,50.5426,0.995,1769443727,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,Yes,0,bamesjond,Expensive-Mosque,good luck,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-1601408-fceb6366-238d-459c-9aed-e9b6c53a390e.png,,0x2cf4499e7b1d7e71efd833a24b1b0b51faf13b39bd504839529109cbb4a123cb
0x95074f700f93bdf6e62fc965e0832064c0877b04,SELL,6271082518707877768637837475632663520983578902767187242523183340673240902132,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,2675.99,0.0076263065258091395,1769443677,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,No,1,bobe5,Compassionate-Kneejerk,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4784424-ea2865a4-43b1-4e2f-aff5-15296161ebac.webp,,0xd0f70f8ca4c723d2b6449159eb88f8b75f6a4fb974d120406ecd86437d348810
0x771e52f8b5dc18a9a69ae550da0585c5bf89f235,BUY,33635112192990993453872315423104620094526257401282945780015813173807650110239,0xde0111150c332eb6f53e9476ffbd86b5527a5a6bdcdeefbac1fbd47248fca7ee,302.419353,0.9919999994180266,1769443653,Apple AirTags 2 priced below $30 USD at release?,apple-airtags-2-priced-below-30-usd-at-release,https://polymarket-upload.s3.us-east-2.amazonaws.com/apple-airtags-2-priced-below-30-usd-at-release-H1RzmFa1w7NW.jpg,apple-airtags-2-priced-below-30-usd-at-release,Yes,0,fishey,Tremendous-Plagiarism,,,,0xc0f1f8500cb86942b13eaac833998b28d1b59ba8c41fa108cf5a601e8e111c6c
