proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0xefd8c619e117919c6f889e3e31098e84f9f7e5ca,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,1000.0,0.001,1771290289,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,dinglemane1,Vain-Smoke,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-5550052-7b7d1e42-25d9-44da-be4d-2d925d99f661.jpg,,0xe150066d73bee5b24fc31312045e4dc19edf7594ae24189a3617becc811f20ea
0xefd8c619e117919c6f889e3e31098e84f9f7e5ca,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,1000.0,0.001,1771290283,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,dinglemane1,Vain-Smoke,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-5550052-7b7d1e42-25d9-44da-be4d-2d925d99f661.jpg,,0x182ee793f45ba79575e0a5136cf35bfaa1d63b85838b2c638e6fce2d32cfe3a9
0xefd8c619e117919c6f889e3e31098e84f9f7e5ca,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,1000.0,0.001,1771290249,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,dinglemane1,Vain-Smoke,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-5550052-7b7d1e42-25d9-44da-be4d-2d925d99f661.jpg,,0xb28a8cc3d20be410cc12cd407fc7603d66970a270c58959ea4ffd164716f0ece
0xb15a0f9c016d816ad87575dc75bfb96a58f2fb75,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,1000.0,0.001,1771289735,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,nebiroth,Royal-Assistance-Perpendicular,,,,0x3c3ea9768d9159cfeea21ae75eeef3e6914a7f17facddb813767e078f0a9b66a
0x48e55eaf73cac8d3b1d2cb35394304e6678977f6,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,510.9,0.999,1771289235,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,0x48e55EAF73CAc8D3B1D2CB35394304e6678977F6-1769906742507,Prickly-Potty,,,,0x50c9f08a2a3f672e3584b2b3dd87cf8e9d41ee82ac56bcf47a13761fc0324f29
0x1604f8f090eed56d7eccb033d9e9223b32566e8c,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,100.1,0.999,1771289209,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,fdkAr5,Victorious-Advertisement,,,,0xb179f19c7c39b231035650846b38298c58e47b153de17a097b213e9111205c36
0x78d2ad24aafa9344976a590eebc0fae5a49d7a2b,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,200.0,0.002,1771289203,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,JohnJJJ,Glass-Cocktail,,,,0x7bfb5c86df450b221369ad8228cb7657bf480de1de461a30017ed42b8b51acfa
0x78d2ad24aafa9344976a590eebc0fae5a49d7a2b,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,200.0,0.002,1771289195,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,JohnJJJ,Glass-Cocktail,,,,0x18e32b486fabf392ab480df535399f30a55533a823fd3aede86dcb4737f72e0d
0x1604f8f090eed56d7eccb033d9e9223b32566e8c,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,100.1,0.999,1771289187,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,fdkAr5,Victorious-Advertisement,,,,0x6aeb8eff60bf48c11e2c866d68976cc5a08c8da56d398bc67294721413403026
0x5d5e32dc9a054f4e4da123353dded3e2ac379a5e,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,293.9,0.001,1771289153,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,polybettor,Cooperative-Gasket,,,,0x1a000008ba908c29b2a9c2da0957e0cb4d58a30d8064a37d61f717dd4b062116
0x531ec9da7c20e263273adca1ddb07824b2a1c639,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,1080.0,0.001,1771289103,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,NomadicRio,Twin-Campaigning,,,,0xd45fd940168313e0318adfe92fe7c171b7aabf7696b4d0416a9778d1f230adb3
0xa25ad6a93e5649cfb80a8933e558879418d404b7,SELL,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,15.62,0.999,1771287085,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,Jubosaurus9,Superficial-Loincloth,,,,0x084a4ae86b36acc39aaeab7840071eb1b21aea19166091f0c5a7020b4339b620
0xd88214774c81789ed4be449307cb7ab5742e3b0e,SELL,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,16.66,0.999,1771286043,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,TuiZest,Sarcastic-Calf,,,,0x6a833c8fe986536f371c7c801d57272c42bcbebab6accf9306d9835cccb7a39c
0x92a6294cd55b9c6ccd57efaffc365ad943118b84,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,482.13,0.999,1771284501,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,Trustinghorse,Profitable-Recorder,,,,0x81b707982a3c7f1f6e8a78e116ec62ed502079d7af95de13b9efa871a01ceb8b
0x9a3fa403a6666eef75f92f181fcf13f9c051914a,SELL,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,32.66,0.999,1771283871,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,Rex416,,3607,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-144679-075010bd-1a02-4e75-a2f5-e1bf30f13300.png,,0xabca2b5eff7fca80713d31052cfaf374f9f621ac93f4f02ed58f9d50730de1e8
0x92a6294cd55b9c6ccd57efaffc365ad943118b84,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,2730.99,0.9989981691620987,1771283199,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,Trustinghorse,Profitable-Recorder,,,,0x05c1f4d07361420beb7d1c11a0d27a668805694650f9877f93cecd20e48d6ffb
0xf7dbbd10b6a437b375f3a946d94496262a6f1613,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,37.321427,0.02679423270712559,1771283133,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,0xF7dbbD10B6A437b375f3A946D94496262a6F1613-1768430744609,Anchored-Violation,,,,0x0f1447047a570825189133dbeeb70b9c038dc13dc8959e676e64c457b40b16c5
0x1ee9a5fc09665909c0cce297c581703bfbb9197f,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,1.001,0.999,1771283097,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,vinii,Verifiable-Obstacle,Xxx,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3182982-b6b5b95b-0f9e-4483-ac26-fd178a3bcfdf.jpeg,,0x1017f4b997432a191f3f61dc14505348699b0d895b8bb5836972ef72ddd6f910
0xf7dbbd10b6a437b375f3a946d94496262a6f1613,SELL,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,19.23,0.9755652626105045,1771283079,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,0xF7dbbD10B6A437b375f3A946D94496262a6F1613-1768430744609,Anchored-Violation,,,,0xa84a24ddb2de6a40c1bf19f39f14deccd302e929ca05bb07781b92fbc8d41034
0x9aeb534c42b58b21673d5e03e9da14fbd15b2729,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,524.0,0.9970019083969466,1771283019,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,The-Joker,Indelible-Try,Bosaurum Shutdown scam victim.,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3572848-e51dd68f-d757-465e-98d0-43d70da2fc09.webp,,0x7cd91c913c5022fffbb15e200e7f2137a61a0dda8d8d708bd9aa738ff0405752
0x4947aa66b043c4012252d007b6932366e2ba5fc0,SELL,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,19.23,0.9607051482059282,1771282925,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,0x4947aa66b043C4012252d007b6932366E2Ba5fc0-1762115845697,Usable-Prohibition,,,,0xd4ddf45f586a98a16f5ecbb19495a12bce66ed2b8554b394b9649c190f1d026d
0x92a6294cd55b9c6ccd57efaffc365ad943118b84,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,817.54,0.9899586809208112,1771282839,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,Trustinghorse,Profitable-Recorder,,,,0x4e47c9033e021b0a88c723abae3fb89fe35f46ae07a636ac719e49f998540010
0x9849476d179a00ba6575280b291f3491414e36f0,BUY,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,77.13,0.989,1771282775,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,m0rt,Awesome-Neon,Really lonely guy who is unemployed,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3165996-40b07ab4-bd4f-49a7-9c74-385d9f88ce7a.webp,,0x11c92a30ac3ecf56232cdbfaf00bf24c03d9b1fe050e4c949469f8be895c9de2
0xd919d03c748f81435679c560075603104cf2623a,BUY,61849589950554601963759461516658691311818135433995396339656564787710444869597,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,14.925372,0.06700000509200038,1771282721,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,No,1,TipForGoodLuck,Giddy-Apron,Imbroke,,,0xa9aeaf3c5acd54f6897540b7d6f4f7277b6fa9233ce95374a7116df62fb1cd35
0x57de7cfbcd7ada42273849c5f72a13f07ea38cad,SELL,87386056247617317613151911491915212748690006774008752066013865008714913085979,0x953825942be626ebe2c1d5cc9100486398748837c02393dc9d342233af63cd78,18.86,0.933,1771282679,ChatGPT Full Outage by February 28?,chatgpt-full-outage-by-february-28,https://polymarket-upload.s3.us-east-2.amazonaws.com/chatgpt-outage-by-F7WtDYLOvwrm.png,chatgpt-full-outage-by-february-28,Yes,0,blackmercy,Idolized-Lender,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3393367-92116385-3a2c-49c8-b5f5-3812b756ca4f.jpeg,,0xfd0f5ad112bf55d69dd4722d9b98109eb2bb7afeb996a9932ef24fea9a7761f9
