proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x8597ca63e722d6216bfc3057591fdc67ec49daee,BUY,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,258.43,0.999,1769894208,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,Mr-Krabs,Scratchy-Loading,Unhand that penny or the arm comes off,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-910126-d2276d14-6610-485b-b1f8-bfbe355a2ce0.jpeg,,0xbeefe502f0502a54ce28caacf9e01593ff41580a0f760fcaa32506276ddc05bd
0xb36b96950b467e10fd4f5504fd659ec9961e7804,BUY,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,6.006006,0.999000000999,1769879910,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,caviaro,Tedious-Bean,,,,0x298e2df55af49763fb6601bb5d950d76c0a06134961814143e9fa1ee6aab9277
0xc412fdbe9956c2e242e8b45fae131c3e8598592d,BUY,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,89.34,0.997846877098724,1769874716,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,BetterFish,Serpentine-Illusion,,,,0xca4df34d4dc43e5e579349645feb86bd6fb42afdf508c7c2e60e6ed357dc7929
0xa4bd8f49695cf5d55924aca4cc2694952874e8a2,SELL,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,5.0,0.994,1769871290,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,paas2,Impressive-Credenza,,,,0xf326b0c10e7a99a1a24e133dbeea7355e88420536e4023894b4b3b3d83528e7a
0xaab9f5e600a5dd88fe3a6f93313b180f6220a08d,SELL,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,5.0,0.991,1769870746,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,DirkDiggler67,Smoggy-Antique,"nothing bad can happen, it can only good happen",https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-586164-fadd494b-0bc9-4483-a177-e53fb7ce6355.png,,0xc71eada332ee6de261d464e9e4c5d4a8a29997f41e0b20a2564113b299faf484
0x90286c045967ca9fb13342351801db6ccd101eed,BUY,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,20.0505,0.9974813096930251,1769870686,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,,,,,,0x841bf97e44e5ca188a8c830e405c930e9465a12997fab51552c0e761702f9309
0xdb441efb5450db05bd5baa43f6d30a806c84ba15,BUY,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,50.1,0.998,1769870686,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,,,,,,0x21f31bdae40326c57b5a5bf3da4d0200a4160e0ae61fc59f54c888cf489f1b8e
0x3b4e01951d28cf72c336d47e7fc55106006ac895,BUY,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,50.27675,0.9944915492747641,1769870684,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,,,,,,0x1d31e661c27510335a5f76ba80c5dfff35cb00a8983941f93c26dfdf755f6f0b
0xaab9f5e600a5dd88fe3a6f93313b180f6220a08d,BUY,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,1391.25,0.9948288661275831,1769870680,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,DirkDiggler67,Smoggy-Antique,"nothing bad can happen, it can only good happen",https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-586164-fadd494b-0bc9-4483-a177-e53fb7ce6355.png,,0x79d07cc63bc2400e9b3a3dc2270e9a789c332423b9cc7be997045f78c345b02c
0x3329fa41f21d371c040ec57e4704efcb176fdf2f,BUY,46500108870003501372387001197750543557959260907304377904220987603955283597244,0x502ce28ca011a3b56c2a8fa419ce23a0faabcaf1a9ea706b2bccf2f300f67967,1.11111,0.98999918999919,1769855280,Enhanced ACA premium tax credits extended by January 31?,enhanced-aca-premium-tax-credits-extended-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/enhanced-aca-premium-tax-credits-extended-in-2025-bk1_3mnHlZ45.jpg,enhanced-aca-premium-tax-credits-extended-by-january-31,No,1,Hedday,Candid-Mini,the sole purpose of human existence is to kindle a light in the darkness of mere being.,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-2004181-d17098ee-5e20-43a9-8326-fe886d783690.png,,0xfa9e933020da01a0257ed4577ec7aaf4fe819d52773286035b41236ccb93fd44
