proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0xd4549c366965829bde8efdae823ff767f250b47f,BUY,9113940095905638103580255587123045632809903124526423599715254233320774007455,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,68.62,0.001,1771786712,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,Canada,0,babu-mck,Afraid-Somewhere,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-5681516-fd1bf165-5e91-4eb9-88f8-f8531520374c.jpeg,,0xaa0afbb4b339543b2a09c3ea609cae54803dc9e2b68e25ba3167c8f6d37085e2
0x3bf48726fd56da81d3db1b310b87d59c58089dfa,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,100.0,0.999,1771786414,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,0x3bf48726fd56Da81D3DB1B310B87D59c58089Dfa-1771761889907,Impractical-Cent,,,,0x516efe72e25d2a80835bdfee283c5691e769270f28a8699a92712ec00be29cee
0xab2d057d2212ee2f016c413e5fee7f1bf2fbb1aa,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,2562.49,0.999,1771786412,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,slobod,Multicolored-Soil,,,,0xc3acc2b379f7c5ecbac14bdbedf90698b85e79c1b2bcfe907889e3b4b799b870
0x8c68bf56489f0993bdca9e2ae8b2a3910464d0d8,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,10.41,0.999,1771786282,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,,,,,,0xdbef00a3ff84e4d2851c0c8c5e6b4b0df5fc73ad3f26ea3411453cb3236284c4
0xd052a62f325c20900f9a8cb59d03a7176818058d,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,2761.5,0.999,1771786244,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,voroz,Thunderous-Cloakroom,,https://polymarket-upload.s3.us-east-2.amazonaws.com/zpUlbXDsnNE_57c21c61-4e5e-430b-a41e-f2d7cce4c95e_1728994961615.jpg,,0x28f2466003bdc1b8952994a76d5d11b452403b6786d64be5fbc45c82b6c1765c
0x3e492492f43828a7149df4674ea09b7c6d7373c5,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,4.25,0.999,1771786228,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,0x3E492492F43828a7149DF4674ea09b7c6d7373C5-1771504116306,Nimble-Type,,,,0xf6985e3485e2dc60f2d7cd5aae813e5f237272fd7d4667d4c0616f9e712fcf5c
0x0edb6a3282fe9e1d0b85d6300c246baadf268260,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,36.46,0.999,1771786166,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,Greenbean22,Enraged-Broccoli,,,,0x87fc1668253b2600ee3b672444bd71e8a027874eb8888155fd6625185b782b55
0xdc6bc4ec2eb7c3061c984ef5f9bd6fa2e835e7bb,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,237.72,0.999,1771785858,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,0xDC6BC4Ec2eB7C3061c984Ef5f9bD6Fa2e835e7bB-1770319205683,Droopy-Camel,,,,0x62f871984d9c6d977682843530a5cb91928dc203d97275a7d6af38753a31b1bd
0x1d656000d705b90869ad3688782fa0c73a334072,BUY,9113940095905638103580255587123045632809903124526423599715254233320774007455,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,300.0,0.001,1771785550,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,Canada,0,0x1D656000d705b90869Ad3688782Fa0c73A334072-1771692613772,Hairy-Insurrection,,,,0xf73fe9fc110aeb03ee0e0cc37bb34e65eb25f034beb42372543130d4ea92efba
0xdd3f38fe4369efe018bf67ab9be3568f0face8b5,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,28.57,0.999,1771785434,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,0xDD3f38fE4369eFe018BF67Ab9be3568F0faCE8B5-1770554615058,Organic-Hometown,,,,0xd99b2542626154b88d28042dbf78f20c5c0f5dcf8ec6c4219897a1d3717cfbc5
0x7af30df005d3781df99a14ff196e792f5864caf2,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,10.0,0.999,1771785044,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,naplbroz,Measly-Dessert,,,,0xb3fbd4c72fb0b5b12c679659c19686dbb902232f86b0b0c559b0827a96f03ad9
0x16eae17cc05597f916a19310234277d66b2a9400,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,46.04,0.999,1771784842,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,,,,,,0xad687a540965700d60083661e5a936ad9c264c54271853fe4d8164ac0b487423
0xd0f2c4513a194d8defb7495a939fe382c0407b55,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,10.86,0.999,1771784624,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,corv,Square-Acknowledgment,greed,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4649585-454395bb-a6b2-49ef-a2ea-66ddcfb92a62.jpg,,0x9b3e645398f9764f1357845ee521f5700b06c72d2d6afb150aa12586346743a8
0x511b0f9862caa7d9ae6191290c5cda4052d2be35,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,615.18,0.999,1771784584,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,triddy999,Soft-Graphic,,,,0x432bdeb17293f7c9b61f60d251b3fe6277164b79bfeea4a954012bade3c114a1
0xfec2d0b1fb11716d28b5c726ad47c99f22150ecf,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,40.42,0.999,1771784558,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,rangemaster,Flaky-Testament,,,,0xedc9122420124075c658c0a80da1ffad94ec1a628846f062fdd19d5fa5d13af2
0xec1479f27044ba1c49979e19a495f7e8439a7faf,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,319.14,0.999,1771784448,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,PuckYou,Average-Terminal,,,,0x4c717e1770901dfddc6c91a120eb8bb08ce344d4f4187fa3c3a80261c93abeef
0x7e3d2132df8877c971b5fb3270729a79cd55bf10,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,889.13,0.999,1771784180,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,NIk,Stimulating-Shadowbox,,,,0xdd60d4c9b0ac3d394cc7fcde87a3c796238596c5e42b5f1580ff58c792abe08f
0xf7c4415e79a85796cb74eeb137bc6dc704a35919,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,200.0,0.999,1771784144,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,Chillinvillian,Organic-Interface,Yo,,,0x42c51b2b38aa5de2becac13514373bf184409c1fa10ed06e64c76a31097792ca
0x9fb7149b6d30c71b0b218cca504373a6a6683297,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,110.0,0.999,1771784092,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,jogin,Mortified-Ginseng,,,,0x77ccfe991e36e69f57c5f31cf285b02d08c26504f4034cebc7ecd53862dfe3dd
0xf62b709646bdf9bc15bedb094ee6ac062857844a,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,2000.62,0.999,1771784064,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,0xf62B709646bdf9bc15BEDB094eE6AC062857844A-1763873985459,Spirited-Project,,,,0x392933d46006f73fe0c4c2cb415a038661c8023e729de441c5f5b7a70e23548b
0x636deff6a2a6a25c2870d65189085fef44f196ac,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,2.12,0.999,1771784018,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,kadanilov,Regal-Kiwi,,,,0x6f5f49c12f3313847265744a33a27b539a9abee577246d4dbecbe96572ed44a7
0x4fff7faece2ad627c99e683f5589fe9b4e9cd384,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,406.42,0.999,1771784006,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,prerichguy,Gruesome-Row,♿♿♿,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-1559747-3e1d92e3-12e5-44e1-8857-44cdea7bb379.png,,0xd87fac45e4238c585b606cb5fdc582286de35f417df11285fec184e08af26168
0x2edbc6553100ef33f1593d7b3393f4ad9847dc1f,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,49.45,0.999,1771783942,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,Pudgyernie,Honored-Storm,,,,0x965f11904b1883c37ca5b2b959b129547b50b03efed0ffd87b79f4531018677b
0xd4549c366965829bde8efdae823ff767f250b47f,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,48.93,0.999,1771783936,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,babu-mck,Afraid-Somewhere,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-5681516-fd1bf165-5e91-4eb9-88f8-f8531520374c.jpeg,,0xcb71501935897c968318c65147dfc5c5aa8c153e04d352935216b8d294b170da
0xa1d73a7bb263ca09b268e218a9257d3425f5a70c,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,1361.7,0.999,1771783858,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,Tann,Playful-Severity,,,,0xa907fc8fb34cc4cd86e4d493f1bfc97d4c4aa4e0253d264f37d44c9cfd5c520d
0xc68819d4884bb2c36dafa45a64ced7ae95465987,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,676.19,0.999,1771783796,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,0xc68819D4884BB2C36DAfA45A64ceD7AE95465987-1766706627073,Pesky-Husband,,,,0x72dacc8fd7c09964356c9260ef410fb21c929badd05488e5519a9cf6f263bb96
0x19da36d7eb904b0ba96dd03f06636420f3b81ef0,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,10.63,0.999,1771783788,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,0x19dA36d7eB904b0Ba96Dd03f06636420F3b81EF0-1771758486084,Well-Groomed-Dude,,,,0x635161cd6898aa4402725627f7a6640963a8025830108fef345abb16fc968863
0x759a0b67d29ec32de88e19e2a49374f3727acc93,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,23.91,0.999,1771783722,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,DeadbeatBabyDaddy,Made-Up-Veranda,The world is shit but might as well make some money off of it,,,0xab7da7d369162963c5469a874abaccb87d27b124462aa2dcb2e1b08ee4527cb9
0x47fb6ebb5902a7adbe169cdf80a50afda56f74d6,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,8.51,0.999,1771783642,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,Inizi0,Whispered-Sampan,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-1616881-4484f8d2-c4a2-490e-aa3b-2b59a4d671ad.gif,,0x55be58c5b3fdff03d8fd445a6352bae756e773a39e859bacac7d3d4825ae6f75
0xa076f6c1f1cd80c0a5f123210029f09d77744ed6,BUY,9113940095905638103580255587123045632809903124526423599715254233320774007455,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,1000.0,0.001,1771783622,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,Canada,0,Liyaz,Delicious-Duster,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-5151969-dd524f11-2087-4388-be28-d3b771d2c025.jpg,,0xfbb28e19ecbca7782bde0842d79a2864862fa94da3271c199744ca2cbc8dae6a
0xa076f6c1f1cd80c0a5f123210029f09d77744ed6,BUY,9113940095905638103580255587123045632809903124526423599715254233320774007455,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,2000.0,0.001,1771783498,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,Canada,0,Liyaz,Delicious-Duster,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-5151969-dd524f11-2087-4388-be28-d3b771d2c025.jpg,,0xde6cc40ebfcfc75f3b05b22de8fbb7509cd6784d9ddfff64af4e13c395d01374
0xddc2cc2d49e67c07817c697384b7ea7dde08b254,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,21.27,0.999,1771783452,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,robertomarano,Vicious-Snowplow,,,,0xa29fcd1603f2883ba98e7381c10829d8859d9b1979efa5c1124a6c3dd64d9231
0x2983811c13bd165b9e9aeddf10469653e6d359d1,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,112.73,0.999,1771783438,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,jjekich777,Linear-Dance,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-153179.jpg,,0x771391848d9f3c093f0c97224d228f7a0fd4d619e58b89eadeab484b68b8e5ea
0x50a3b6cb6fe6b987cdd541c8270fe855ed140a78,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,15.48,0.999,1771783412,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,TonyBeetZ,Secondary-Card,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4153725-f04e0e28-bab8-4e48-a86a-bb793ea30fbc.png,,0x2837cd70e0afafb08b35ae921749129f582379445d1e908d15d2560becda1ecb
0xc0ec07e2ead849415318ed82cf9ac7dd60927240,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,5.04,0.999,1771783246,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,,,,,,0x0aa1126cb6fc9d439db9a2529ee67e05ca52a543719b30226c7af0fb02cf4623
0x07b8e44b90cc3e91b8d5fe60ea810d2534638e25,SELL,39775971449854084307819444444885689959717187346504102048936853035552864804847,0x53e563b035b466369c6d05a9dea8cd4d8500f435dbbb6f3d5e4ec85628bde67e,50000.0,0.999,1771783242,Men's Final - Canada vs. USA,mwoh-can-usa-2026-02-22,https://polymarket-upload.s3.us-east-2.amazonaws.com/winter-games-2026-womens-ice-hockey-P0ldiVwK_ue9.png,mwoh-can-usa-2026-02-22,USA,1,joosangyoo,Puny-Tenor,,,,0x5e622059052016ec3f49a99553fcffe6ac59c7230abed6ad3d151fc898fee9b0
