proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x5d3cddd1df7807850f2a4081c7e29875df38c279,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,20.54,0.999,1772264889,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,0x5D3CDDD1Df7807850F2A4081c7e29875Df38c279-1771706988107,Fruitful-Advocate,,,,0x485787a3ea96f11fe80d0bf806848b584960387ef3b1b84ba4bfe69bf49a563a
0xef41763a1ca6de5418ea319a76f0c39d74fff8ca,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,6.98,0.999,1772264709,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,,,,,,0x0a2a8ba770c4229275da8a312649f8d41b4ad23638525fb752536399397255a3
0x3a9f7f5aabeae41e09c71b080cea2653ba923544,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,14.37,0.999,1772264705,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,asd1456w,Reflecting-Financing,,,,0x2380eef25b698b0b694aa100e5b449f9bfa1497ea405d77886da28d03605424f
0xc18754ab240e1371db34b4a860ea1605f1beefaa,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,57.14,0.999,1772264559,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,,,,,,0x9458481902137498aa32594e6eff319493ab68a1e1f0dbf867ccddc5f7ef98a7
0x6aa706e5d0e644b5edb11ed1ebb39d1cf98cdb93,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,136.98,0.999,1772264455,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,whothe,Fancy-Admin,,,,0x88ea9b84caaa98304728ded140169bb940d2d1f69f7901898f579e1b67ce432b
0xd501b25cf3d72eb3e08edfa974549e4b201ab86e,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,5576.54,0.999,1772264431,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,gigigigigic,Ill-Fated-Clasp,,,,0xdcec9dd4f246ebe33f139d6aa6b6b2edbf94f78519ebd8870bc4f94e65f6e3ce
0x40f67576527cf813251a1cc93ab75f7f25f17bd7,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,27.39,0.999,1772264327,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,fasfedfc,Deficient-Mallet,,,,0x7f766b4f03b3d4e9e4cf8a6d44e05d6a79c9f85eb8c7ce061420efc04ed61d60
0x8c1b6d5b30997b2003f9badd068a47bca6819bb8,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,6.72,0.999,1772264293,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,wtboyspeed,Common-Minimalism,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4593326-83210090-f66b-4f85-b0de-1f9750f48f5d.webp,,0xe34dd5d712eaf2a61f37a5cdcdea2be28f9c7f7e83788c73bfbd534a5b1aea8c
0xce9d204439cfcc2affaf0ce4de449e5750c23c05,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,169.04,0.999,1772264121,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,0xce9d204439CFcc2affaF0cE4de449e5750C23c05-1769777404969,Quiet-Mile,,,,0xce6ac0b5f2307dfc440c5ece4b0c5b90d76a0403c495618e3c6af236cb911092
0xf9380315b603f06c9e9b18f71d8d02a4279c1249,SELL,80733527800710944363886141911868517748137807225998893261323072005352734555244,0x6fcf50570f247b6826fa091d73c429f80607852afebc09879c42518994866966,59.87,0.999,1772264115,Nuggets vs. Thunder,nba-den-okc-2026-02-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png,nba-den-okc-2026-02-27,Thunder,1,maxonxchik,Grand-Yew,910972,https://polymarket-upload.s3.us-east-2.amazonaws.com/photo_2023_10_31_10_53_30_c005b806-fed2-4604-9c21-dc4e1bf24072_1740070772352.jpg,,0x8d692894aad7704b6a9869f780a550d938c99bf75b6aa8be71ab0ad464a721b2
