proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x6ac0caf622798132614a5972f81d86ff23fc55f3,SELL,14085710149918569651493695386971769921668376615122994878211063131710441721222,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,2.63,0.999,1772278723,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Something,1,LeRoiSoleil,Intentional-Star,,,,0x7e1693201f8648ff67c9b5af0a70dcbac9e3448278aac34435333d129dbffd79
0xa9f6a406bcdafdf1787b55ea8c6130dad1ef88b4,SELL,14085710149918569651493695386971769921668376615122994878211063131710441721222,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,5.0,0.999,1772278113,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Something,1,arbt.martg,Royal-Duck,,,,0x495e30b5fbc843fef99a7a96f0625e354896e68b7e5a0c4572a7e73c3b06096b
0xa25132960171723aa4a1d309576711a75ea56e9f,SELL,14085710149918569651493695386971769921668376615122994878211063131710441721222,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,4.54,0.999,1772277699,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Something,1,melissanocito,Ambitious-Cheesecake,,,,0x94e509e98ccc4881589f91958905a7cfe8cc2bb37f696aadc23a27c69d0fd40c
0x92a6294cd55b9c6ccd57efaffc365ad943118b84,BUY,14085710149918569651493695386971769921668376615122994878211063131710441721222,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,4649.17,0.999,1772271395,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Something,1,Trustinghorse,Profitable-Recorder,,,,0xe21a6934706163ff3df1b9991c34e03708e300deb0edcbf4e56868afa35dffd6
0x8c276649e4e0ac1f044825d8983b548db07d831a,BUY,14085710149918569651493695386971769921668376615122994878211063131710441721222,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,15.0,0.999,1772271245,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Something,1,woshinibabaa,Webbed-Bid,,,,0xad45d76b5dc16b411cbbd51a3e3607c0f75982cc6e0e757a7c6d981d9ec536d3
0xe490f73d9ef3d8e4d96ced4892928c529bc1803c,SELL,14085710149918569651493695386971769921668376615122994878211063131710441721222,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,21.7,0.9916912442396313,1772270617,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Something,1,0xe490F73D9EF3d8E4d96cED4892928c529bc1803C-1770984585760,Haunting-Dryer,,,,0xc6acfc130cb3e9ca5e9f34abb339cb34b11b85dd5428e064f2153f59d0c6f049
0x3a2536eb18c68b194a117e36871d31b11845bb6b,BUY,14085710149918569651493695386971769921668376615122994878211063131710441721222,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,30.03,0.999,1772270515,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Something,1,,,,,,0xfbc76c753d41951905f66489d0327f23b7e3411c4b8f08aeb5acf89d0d9ed3fd
0x06e8cb40376ff9f06d926e71a0740821f1914675,BUY,14085710149918569651493695386971769921668376615122994878211063131710441721222,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,4249.52,0.999,1772270511,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Something,1,1sk,Wild-Memorial,monkey do cause monkey see,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3118723-b5d4b81e-1d29-4c35-9460-e7b5ede713a3.gif,,0x25f039044794bc4612f5b8e73ad5aa89ee3285f57fdc7944d63f9ae8a7a02fb3
0x355f3b6a0e5b430a21b5067403c2f4507dbc0df8,SELL,100891637050454864467585022850305189697320887182605891854063605533959203721144,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,617.91,0.001,1772270493,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Nothing,0,haraya,Worst-Generosity,,,,0x42ea14bd9f392f3c171486de9981df59e6595762a65dd8eb053dea112eb01eb8
0xc641cb5192c46aceb68ba075f15098c450fa7874,SELL,100891637050454864467585022850305189697320887182605891854063605533959203721144,0xbacc8aee0f90381b63485123bf32d813254f5dd5f680503997913ea79c0eee70,68.23,0.0015828814304558111,1772270425,Nothing Ever Happens: February,nothing-ever-happens-february-152,https://polymarket-upload.s3.us-east-2.amazonaws.com/nothing-ever-happens-july-lwg0Ik2C_PNx.png,nothing-ever-happens-february-152,Nothing,0,0xC641Cb5192c46aCeb68ba075f15098C450FA7874-1768428864692,Weighty-Tunnel,,,,0xa3173ddf4c4e979167d094b269a2a55abebcf3e9cf45f29dde04ce2e0f82e6eb
