proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x40f01967e66286c3353d2e6d9097cf56b8f25701,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,37.73,0.999,1770077358,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,grothus,Worldly-Highway,,,,0xcc2f6fe4162a85efccbba1d5fbb63be7d813a495f61e437b66509a364d988087
0xca376dad6aa92ce2b6c82b1c2ef8f54ad69ea2ae,BUY,93052263340482729990402134479212935875740662537350836934359122643220416458725,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,6495.56,0.0030790262887264532,1770074618,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,No,1,nickadamus,Wee-Convenience,,,,0x15f8c002805abdf688eb730e92254ebb6f301d1bb5c13262c94a2e4386db376b
0xd81df2727a02904168775b37b888180355a120f7,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,37.95,0.999,1770073048,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,sujguan,Separate-Chowder,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-1085686-c39a22e8-ba8a-41f3-bb24-43ea8fb84450.png,,0xc6328d30bf1065539094fa8fe02bcc1cf55cf7cdad4dfe8443972110e3cf3008
0x1c37d8b7e0be505d408797afd3226403674285bc,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,441.55,0.999,1770072518,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,uhuih,Both-Emerald,,,,0x2709750469da1e86bb2731804a412fe0b460e8162073a3a089be8047c5e8db09
0x05414e004137a42b8703729800a8bbdd4b01b0f1,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,3.63,0.999,1770072206,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,0x05414e004137a42b8703729800A8BbDd4b01b0f1-1769736153070,Fatherly-Hydrofoil,,,,0xb53bf19821c985a6a9dcb2981824d9dcedc6552cdffa1114d088a96e55794a7b
0x2d8e634a14a8e7867902dacd0454514fdf32559e,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,10.63,0.999,1770072064,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,Zender9,Expensive-Rag,,,,0xc2a64091534a50b72755fa5aaaf8ee0498ab1ed35536ca20adc75147d7f9c544
0x4faf7bcefd33e2348d77dc4e75d2a69f878ff815,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,2.17,0.999,1770071940,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,,,,,,0x3d87a0092b31e9d352bc7e4d6632ec5dac5799daeaa9af3c581f702b2e4d62a0
0xe6341fe0e1613c4bea8a20a8605e8f8f639ccad8,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,20.61,0.999,1770070990,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,,,,,,0x489392946e862e8b616e9d3a3eeab96d5709a2f0f91576f7197573bc01e7c9c3
0x3c760e45728e0cb4b68c52980a070314b95fd4ee,BUY,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,1664.64,0.999,1770069924,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,Michael5289,Lean-Trolley,,,,0xfe245c8566feaab5b3326561faf671518069bfe95a47958463c7b08cc348a2d2
0x29efb149c85a53729c266b7918bfa921a70dddda,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,39.99,0.998,1770069920,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,ImSweating,0x29efb149c85a53729c266b7918bfa921a70dddda,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-131967-8b9256e7-3d37-481b-a834-ada9024bb8a6.jpg,,0x5f4fa7d804293933cffa83c0d9abd09976b8bf1d5d4f9e5ba0c86956084c90c9
0x66845dc813f612b85526285f108a0b788035a6de,BUY,93052263340482729990402134479212935875740662537350836934359122643220416458725,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,6837.666666,0.0029893238437078266,1770069794,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,No,1,gudus,Unacceptable-Refund,,,,0x61f774fc8cfc8a6ba07230c3615ae47146f67cff90f5289fb12bdac3bba30830
0x7d5bc07e2fb6160f454cb9a256bc13c0bfb8b822,BUY,93052263340482729990402134479212935875740662537350836934359122643220416458725,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,500.0,0.002,1770069696,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,No,1,KAJUTAJA,Entire-Gear,,,,0x9def77d9bea790313c482ed7ab963a1b1cda00d6b30fa44eee8cf0e29851c3d0
0x4fdf15c2cae33df9df09d74c7d225118626d9f3a,SELL,93052263340482729990402134479212935875740662537350836934359122643220416458725,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,392.26,0.001,1770069616,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,No,1,0x4FDf15C2CaE33Df9DF09d74C7D225118626d9f3a-1768169848855,Wee-Broiler,,,,0x8d7b22a5d7128a4d8c37537a09c0d20c149e3f9ae9b73a4913b3ad250e5bcc39
0xb37f3f453a78aebc6f39bf577f2d53708dadfdcf,SELL,93052263340482729990402134479212935875740662537350836934359122643220416458725,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,2743.1,0.001,1770069414,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,No,1,Wwx,Metallic-Advocacy,,,,0x2910765a0369b66188d59c04906bb895ed9e4244afa8d1e78efe632bcdf456ef
0x6196dce65aa9f4819e242c23a18810b6e1901a64,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,9.87,0.997,1770069374,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,etrading,Whopping-Gran,,,,0x16aea64e13df0bdb2a28ce31ddf9440f0f7d0fd159967999e98c24f80f57327b
0xe85607bf3eddcc3f7cff16671695f5e96bba3789,SELL,48617787485959824551529938154198119165173866982530651618514074023150002686905,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,6.74,0.997,1770069328,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,Yes,0,Wartlock,Ragged-Dose,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-2977065-6ee50530-0f9c-420f-86a0-226ac6829550.jpg,,0x4145268c9302eed573fc974e3d1d06b933fe674bea904f12728d8a55842ad9f6
0x4fdf15c2cae33df9df09d74c7d225118626d9f3a,BUY,93052263340482729990402134479212935875740662537350836934359122643220416458725,0x0b13b1ef4cc7dc9d3b71f6643fe28ceacaad63949844f8b883ad33dc554aa8cb,333.333332,0.003000000012,1770069174,SpaceX and xAI merger officially announced by June 30?,spacex-and-xai-merger-offcially-announced-by-june-30,https://polymarket-upload.s3.us-east-2.amazonaws.com/spacex-and-xai-salemerger-announced-in-2026-GAq_ttguOeKK.jpg,spacex-and-xai-merger-offcially-announced-by-june-30,No,1,0x4FDf15C2CaE33Df9DF09d74C7D225118626d9f3a-1768169848855,Wee-Broiler,,,,0x1105bf105440a611718bfd1484886030ef9324fe0eb63a9e40068bba997165b1
