proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x9aeb534c42b58b21673d5e03e9da14fbd15b2729,SELL,38209454751744746362074253088743777910474418127819616207647166133306785485579,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,971.0,0.999,1770350017,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,Yes,0,The-Joker,Indelible-Try,Bosaurum Shutdown scam victim.,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3572848-dded4616-ff9c-4ef8-9173-c2fc79c907f2.webp,,0xb2e9b925f2465cb6d9cc95ff809d29cfc3d79be86ed46cca889dd991fd5ef862
0x78776dffaf187d7cb87e1988c149de5422714bfa,BUY,109817154149582222823671733185859799316574734124965864198529481760348145043512,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,1000.0,0.001,1770344629,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,No,1,0x78776DFfAf187d7CB87E1988c149dE5422714BFA-1770343356042,Creamy-Dew,,,,0x8480a8a89710b7bebe63a368279a240594dfb0e990a9c0d1523e3f5c314ddd25
0xb03b826a4fc9893b35d3ddf4f11be824525b6ca1,BUY,38209454751744746362074253088743777910474418127819616207647166133306785485579,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,7844.11,0.999,1770343471,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,Yes,0,vvvvvllllllvvvvv,Mild-Lecture,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3163399-8dd29584-42a9-48be-b640-9464943067e9.png,,0x3f02bba85c81076e5effe00464740580da875e7ae4ef36e4a76e1e4db997af04
0xb03b826a4fc9893b35d3ddf4f11be824525b6ca1,BUY,38209454751744746362074253088743777910474418127819616207647166133306785485579,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,7089.0,0.999,1770343345,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,Yes,0,vvvvvllllllvvvvv,Mild-Lecture,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3163399-8dd29584-42a9-48be-b640-9464943067e9.png,,0xbf66677f59bf75ad65d6445a1b2c47ecad7837ca7b7e2e7dbcb867f4489669d3
0x8a6510fb63cad25d7043b9e0cb2159176b4425ad,SELL,38209454751744746362074253088743777910474418127819616207647166133306785485579,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,500.0,0.999,1770343331,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,Yes,0,MONARCA-DE-LOS-MARES,Vigilant-Polo,"Dios bendijo a mami cuando me puso en su vientre, mi nombre es el mejor y mi apellido para siempre.",https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3586823-9a4d0542-fac0-4d7d-8cf3-ba67673b09bc.jpeg,,0x9421b1793a404cfdc10106d074823b825b2c4897af1a37028a5a8fae655e25cb
0xb03b826a4fc9893b35d3ddf4f11be824525b6ca1,BUY,38209454751744746362074253088743777910474418127819616207647166133306785485579,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,4767.38,0.999,1770343235,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,Yes,0,vvvvvllllllvvvvv,Mild-Lecture,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3163399-8dd29584-42a9-48be-b640-9464943067e9.png,,0x9b3c7e971c34791f5e27f7b31a42a152991f2fdbb5c0ca43bc5ca4cd16e53deb
0x5352dc7a4580ba59fdd6a461310204929610e20e,BUY,109817154149582222823671733185859799316574734124965864198529481760348145043512,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,420.826666,0.0023762752714914697,1770340109,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,No,1,Charlie.chaplin,Sugary-Guilty,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-5663744-db8b083e-54fc-4a66-901c-f6649e2885ee.jpeg,,0xc0f1182f5d23e3c118b75d8275d72f4ffff1f7ec278bd15e9adfd74e678ce241
0x8a6510fb63cad25d7043b9e0cb2159176b4425ad,SELL,38209454751744746362074253088743777910474418127819616207647166133306785485579,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,167.0,0.999,1770338765,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,Yes,0,MONARCA-DE-LOS-MARES,Vigilant-Polo,"Dios bendijo a mami cuando me puso en su vientre, mi nombre es el mejor y mi apellido para siempre.",https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3586823-9a4d0542-fac0-4d7d-8cf3-ba67673b09bc.jpeg,,0xa78c2bbd6a837e4c0e74e7064e1c3dac886362cb9f9dd6786c899cdc60bcc92a
0x8a6510fb63cad25d7043b9e0cb2159176b4425ad,SELL,38209454751744746362074253088743777910474418127819616207647166133306785485579,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,500.0,0.999,1770338625,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,Yes,0,MONARCA-DE-LOS-MARES,Vigilant-Polo,"Dios bendijo a mami cuando me puso en su vientre, mi nombre es el mejor y mi apellido para siempre.",https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-3586823-9a4d0542-fac0-4d7d-8cf3-ba67673b09bc.jpeg,,0x250f891c39e89052abe0f9182d9071af163b577ad9fc9162bbb37e4fa4956081
0x2b366034b69b64a444406b2db7ec1ff7869c473b,SELL,38209454751744746362074253088743777910474418127819616207647166133306785485579,0x5f519d3660d69d2c56ad6b52a1421247c342c95d86926b64bd07cff40c1347a9,3.94,0.999,1770336879,"TrumpRX launched by February 28, 2026?",trumprx-launched-by-february-28-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/trumprx-launched-by-january-31-2026-NiXZJHcM-juj.jpg,trumprx-launched-by-february-28-2026,Yes,0,,,,,,0x6a7e27f641989f4dfae8da1df0da3e43f4516a2ef2320118c9b625bd9ead657f
