proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0xec4e8e525969c4b9072eed0193e587b73876d9db,SELL,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,360.4,0.999,1769930976,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,southbets,Meaty-Locket,Nothing to put here,,,0x103fb0be4e3bb3e3f3b0d5fba512c24e4d35a9592b5e688628604710f6720d3f
0x5f94ea09f1fe4b506a785ac4526e27a9391f1454,SELL,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,2.0,0.999,1769929438,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,lighter-nls,Yummy-Randomization,,,,0x1dd3603d32e098b08a70769fc9c62b07ed60d3a8bae3c8531240525901af923f
0x9380db17dd5ab2ce55301effa758fd71a6e501ed,BUY,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,174.0,0.9967309770114943,1769890322,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,0x9380dB17dD5Ab2ce55301effA758fD71a6e501ed-1764517074530,Old-Fashioned-Bullfighter,,,,0xcf3a9c2592487800f66f2809e396874fd656e5849ab5f346e61f94eecb4a0e40
0x89f0a333cda79fccc920dc0f003823e9bece1e62,BUY,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,3.006,0.998,1769858808,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,dissk,Giant-Innocence,,,,0x68c581a0729c89a66bd626ec5b97ed6199a1756795970fb4215fb736d64e4389
0x272df07434614e735c7896b0eb9d3d26c78d9e36,BUY,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,3.006,0.998,1769858798,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,hjss,Showy-Secretary,,,,0x5a22797ab118a6476187b81a883e42e2026effeb7cfe6e3ca2dec7289f6a09fb
0x76e8abcf27bcbc74a359572e40f0732362f541da,BUY,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,5.045333,0.9909999994053911,1769854604,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,T4G4DG,Conscious-Week,,,,0x72d1be087a7b1e09d45e901fa5dc70c73a17119861e1483d8b7a671b045c35fa
0xf02d5208a22e408d5f19176d0208dee3a52cc668,BUY,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,5.01,0.998,1769845664,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,ft5765,Enchanting-Perp,,,,0x1c80dab682642eed53120a9f6259667f64801feca879af677035a0a55b27974f
0x884f9c9e88a91fca8d528e8fd02ab037bc2d0daf,BUY,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,4.71875,0.996,1769845582,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,T7464R,Angelic-Pupil,,,,0x2359f4ee8dcb93653c001461ca637cf4e4a53868761f9bca6d5175d2057a6bfd
0x7aa78935e99e0644cdff763ab6df0814cae73cd5,BUY,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,5.616666,0.9969999996439168,1769842908,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,yuiu67,Lumpy-Chicory,,,,0x439197a831c6d34f812eab1c6dc5cd1f54ab2259c6eb56087d8d39016529ab66
0xe5d60abec2bd7edd8997a50f5dc4f10a2b07c697,BUY,18183286918434869824441675990794243765466010937775706724610101178401955339057,0x775e71b9c9fd3c0392d32745839c2aedbb51fd329e37295c89872373414317f6,5.5315,0.9942397179788484,1769842872,Trump's travel ban removed by January 31?,trumps-travel-ban-removed-by-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump-travel-ban-removed-before-july-5D_yIj9zkkDV.jpg,trumps-travel-ban-removed-by-january-31,No,1,fhdbfb,Dependent-Pence,,,,0x2b76932a845410c81d9a49067b83736ee81d3c7ab1a0fe21d685a22609cc9c2a
