proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x9578af80708f271f705e27867dcf6ec653acf066,BUY,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,6.0,0.99,1772330139,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,KimchiCapital,Piercing-Formation,Blackpink and Aespa SuperFan,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4764685-ddbb943d-b54e-40c6-b5d6-323e7625b4d6.jpg,,0xf0c978e6cb5deca60e58743f2581c3935475eb1739b3cefac261062bce67bda8
0x9578af80708f271f705e27867dcf6ec653acf066,BUY,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,950.0,0.999,1772327243,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,KimchiCapital,Piercing-Formation,Blackpink and Aespa SuperFan,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4764685-ddbb943d-b54e-40c6-b5d6-323e7625b4d6.jpg,,0xb76ea3dfe36cd4072aa58dd6da91be68fe90ebcfee1e84cb8c94c75fc42d955a
0x562bc8068347268d9a69b8dd464d00eed0f9dc09,BUY,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,5.0,0.99,1772311457,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,SweetChariot,Gummy-Theater,,,,0x455fa036b3f093b9f3ec8c6ddb368cd36e667aaeb4c3b9532b04d59e5eacd087
0x26a4302052708df8c7ff26f184f6f8688a665593,BUY,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,50.05,0.999,1772311301,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,HrvDaBot,Automatic-Footstool,,,,0x11b318e4832ebfabf4bebb8610b98a8320fa232700ae2130dd564feccf5f9e7d
0x6a00f7ad917e00dc53263840e706ec6cc313b0b4,SELL,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,537.63,0.9559538902218998,1772311279,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,Satoshiii,Fickle-Gokart,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-576073-db0023b0-f5f4-41da-ba9c-2154109398af.gif,,0xae7e38da82bfbd09ae7aca6708c89604e6996d41e024858e3e04dc81c57b79d3
0x9578af80708f271f705e27867dcf6ec653acf066,BUY,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,50.0,0.998,1772270739,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,KimchiCapital,Piercing-Formation,Blackpink and Aespa SuperFan,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-4764685-ddbb943d-b54e-40c6-b5d6-323e7625b4d6.jpg,,0x79c4a8a6c2b12e76cec59c551204f552522bf5759ea2763367e3ab02f1d63e46
0x562bc8068347268d9a69b8dd464d00eed0f9dc09,BUY,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,40.0,0.999,1772239219,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,SweetChariot,Gummy-Theater,,,,0xed12bff1ddc34c7cb05c6fcd3612dabe4b62423b58aaaab8afea3a68df691a65
0x562bc8068347268d9a69b8dd464d00eed0f9dc09,BUY,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,14.87,0.998,1772223113,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,SweetChariot,Gummy-Theater,,,,0x352732f13d2f39d8b0d67c02eaf8b2dc15b05de8b1d000f85a93f1aa2016a2d2
0x562bc8068347268d9a69b8dd464d00eed0f9dc09,BUY,106524100076933328485176005018933913335758035579661934016008982746837861443289,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,292.95,0.998,1772223103,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,No,1,SweetChariot,Gummy-Theater,,,,0x2195dc5441c7718bb023abc99a899ac1be53fd16ab07ecc9c5141e0cc2039e31
0xd673c02695f65570d37cb03747dc627c2d7f27af,BUY,66855455937008174715679155403629529974235964496548005115103210675201182331153,0x2e1f1fa79074933ae44ee464343315c07c222b84271a310430ce3805be1ad4ba,221.25,0.008,1772189847,Will BULLY debut No.1 on Billboard 200?,will-bully-debut-no1-on-billboard-200,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bully-debut-no1-on-billboard-200-Yfua1mnLmZE1.jpg,will-bully-debut-no1-on-billboard-200,Yes,0,guchengren,Cute-Pair,,,,0x060a4cccae61f0a1c5c3060f73d8b6e3fcc838199fe5fe05d441ec1bf7b08118
