proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x7fbc440795816891b5977225522cb1340730d4cd,SELL,91434120142325604572452611459979115570836908919561209013458212127132282264761,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,3.06,0.999,1741788177,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,Yes,0,Urus555,Total-Tonic,,,,0x5a5d0ae494dde49a6ee09014e4eb802d04b538c9d02d338699eb3b001290cb60
0x2bf309dd001df4f9b1f90c26432d6ff457a38c3d,SELL,91434120142325604572452611459979115570836908919561209013458212127132282264761,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,750.76,0.999,1741784125,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,Yes,0,BlackSky123,Hasty-Rear,i love you,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-663195-cb269b96-2850-4d8b-98a3-708a9280e098.webp,,0x873201e5c587f25b4adb9b9ad0ee0977c38f1150b0c5c60cb7d88a92ccab0029
0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c,BUY,91434120142325604572452611459979115570836908919561209013458212127132282264761,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,4461.98,0.9989963715659864,1741783437,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,Yes,0,noreasapa,Unripe-Split,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-833166-913f8e4e-79bb-428a-9dd4-c3d18d1bc474.png,,0x1078faefa9be3366e13c5f27794368bb3070762846d76eaf8f61dd69301871dd
0xf0b0ef1d6320c6be896b4c9c54dd74407e7f8cab,SELL,96864677720553367251174325338723991022939989326937296040995140967584963848073,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,16.19,0.006,1741783405,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,No,1,daroghi,Faraway-Seaside,,,,0x3594f1313b41277aa288aafde579b33720eff2e147e2322daf1cc137fbf41d0d
0x239b9988de71713d7c78fdda70ac69e698afc1cc,BUY,96864677720553367251174325338723991022939989326937296040995140967584963848073,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,491.81,0.004,1741783405,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,No,1,LHQwHOCKXl,Juicy-Playground,,,,0x329cebc68f2aeb416971296c65e8ac957379f1667c76f3be3a9ef039929aecf5
0x2bf309dd001df4f9b1f90c26432d6ff457a38c3d,BUY,91434120142325604572452611459979115570836908919561209013458212127132282264761,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,360.89,0.9989722353071573,1741783393,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,Yes,0,BlackSky123,Hasty-Rear,i love you,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-663195-cb269b96-2850-4d8b-98a3-708a9280e098.webp,,0xddf441fa246e193b7c3fadf76c2419d333092b47d3edc5afd2d37abee4eb96cb
0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c,BUY,91434120142325604572452611459979115570836908919561209013458212127132282264761,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,1480.0,0.997795527027027,1741783373,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,Yes,0,noreasapa,Unripe-Split,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-833166-913f8e4e-79bb-428a-9dd4-c3d18d1bc474.png,,0xafa5f30b543fca63701c45873df94688bf5cd47a12fe90ef91678d9356f8d118
0xaaec89fcb2ff14b335ddd738edf355ac07038dc8,BUY,96864677720553367251174325338723991022939989326937296040995140967584963848073,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,11291.92,0.006441908904774387,1741783069,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,No,1,aboss,Offensive-Speech,,,,0x0c267527a33beec6a1654a4d8844887730b5f6f15dc1363095841b7e64e2be99
0x0ff4cbcaf19050dcb7774faca2280bdd96f01e98,BUY,96864677720553367251174325338723991022939989326937296040995140967584963848073,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,240.0,0.005394458333333334,1741782879,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,No,1,FNTRowXngc,Nocturnal-Meatball,,,,0xde23b604d6abd0738bc8e43d3de5db02a64b986bb9788fbc8837af4b5337c0b4
0xc0d64fd6865c11d50b1ad0d71b55d1334d35dfb9,BUY,96864677720553367251174325338723991022939989326937296040995140967584963848073,0x32cecf5ca4cfbb1ce7cb56adf5a823ddb0200de2618108abc6c74fd1a7b689d7,240.0,0.004,1741782687,Price of eggs goes up in Trump's first month?,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-price-of-eggs-go-up-in-trumps-first-month-in-office-s5jFK7iqBLPo.jpg,will-the-price-of-eggs-go-up-in-trumps-first-month-in-office,No,1,gnYovbSRtq,Attractive-Rainy,,,,0x17d9421b72eda6caff8234b314e3ef8c0ee063c6bde47754f2b95c6c380adb73
